Trans. Date,Post Date,Description,Amount,Category
01/06/2024,01/06/2024,"DOORDASH*HWY 55 BURGER 6506819470 CA",30.93,"Restaurants"
01/09/2024,01/09/2024,"DD DOORDASH HWY55BURG 855-973-1040 CAITEM TRANSFERRED FROM PREV ACCOUNT",7.44,"Merchandise"
01/09/2024,01/09/2024,"DD DOORDASH TACOBELL 855-973-1040 CAITEM TRANSFERRED FROM PREV ACCOUNT",20.89,"Merchandise"
01/10/2024,01/10/2024,"DD DOORDASH CASTLEMED 855-973-1040 CAITEM TRANSFERRED FROM PREV ACCOUNT",26.37,"Merchandise"
01/14/2024,01/14/2024,"INTERNET PAYMENT - THANK YOU",-49.45,"Payments and Credits"
01/20/2024,01/20/2024,"SQ *FILAMENT COFFEE MEBANE NCAPPLE PAY ENDING IN 36990002305843019157191319",16.78,"Restaurants"
01/24/2024,01/24/2024,"DD DOORDASH CHICK-FIL 855-973-1040 CAITEM TRANSFERRED FROM PREV ACCOUNT",22.99,"Merchandise"
01/25/2024,01/25/2024,"DD DOORDASH DUNKIN 855-973-1040 CAITEM TRANSFERRED FROM PREV ACCOUNT",33.57,"Merchandise"
01/27/2024,01/27/2024,"DD DOORDASH CASTLEMED 855-973-1040 CAITEM TRANSFERRED FROM PREV ACCOUNT",26.37,"Merchandise"
01/28/2024,01/28/2024,"CITY OF MEBANE MEBANE NC",23.68,"Services"
01/31/2024,01/31/2024,"DD DOORDASH MOESSOUTH 855-973-1040 CAITEM TRANSFERRED FROM PREV ACCOUNT",23.01,"Merchandise"
02/01/2024,02/01/2024,"SQ *DISTEFANO'S BAKERY MEBANE NCAPPLE PAY ENDING IN 36990002305843019213504160",9.77,"Supermarkets"
02/06/2024,02/06/2024,"DD DOORDASH CASTLEMED 855-973-1040 CAITEM TRANSFERRED FROM PREV ACCOUNT",29.13,"Merchandise"
02/07/2024,02/07/2024,"DD DOORDASH CHICK-FIL 855-973-1040 CAITEM TRANSFERRED FROM PREV ACCOUNT",28.04,"Merchandise"
02/08/2024,02/08/2024,"INTERNET PAYMENT - THANK YOU",-156.17,"Payments and Credits"
02/09/2024,02/09/2024,"DD DOORDASH MOESSOUTH 855-973-1040 CAITEM TRANSFERRED FROM PREV ACCOUNT",23.01,"Merchandise"
02/12/2024,02/12/2024,"SQ *FILAMENT COFFEE MEBANE NCAPPLE PAY ENDING IN 36990002305843019277245006",7.38,"Restaurants"
02/13/2024,02/13/2024,"DD DOORDASH MOESSOUTH 855-973-1040 CAITEM TRANSFERRED FROM PREV ACCOUNT",22.47,"Merchandise"
02/15/2024,02/15/2024,"INTERNET PAYMENT - THANK YOU",-87.56,"Payments and Credits"
02/15/2024,02/18/2024,"DD DOORDASH CASTLEMED 855-973-1040 CAITEM TRANSFERRED FROM PREV ACCOUNT",29.67,"Merchandise"
02/20/2024,02/20/2024,"DD DOORDASH CHICK-FIL 855-973-1040 CAITEM TRANSFERRED FROM PREV ACCOUNT",28.53,"Merchandise"
02/21/2024,02/21/2024,"ATT* BILL PAYMENT 800-331-0500 TXITEM TRANSFERRED FROM PREV ACCOUNT",264.33,"Merchandise"
02/21/2024,02/21/2024,"FOOD LION #2590 MEBANE NC02195P",11.82,"Supermarkets"
02/21/2024,02/21/2024,"SQ *TRAVELING ADDICTIO MEBANE NCAPPLE PAY ENDING IN 36990002305843019325088725",6.65,"Services"
02/23/2024,02/23/2024,"CHATGPT SUBSCRIPTION 4158799686 CA",20.00,"Merchandise"
02/24/2024,02/24/2024,"DD DOORDASH HWY55BURG 855-973-1040 CAITEM TRANSFERRED FROM PREV ACCOUNT",42.36,"Merchandise"
02/24/2024,02/24/2024,"SQ *TRAVELING ADDICTIO MEBANE NCAPPLE PAY ENDING IN 36990002305843019345175080",6.65,"Services"
02/27/2024,02/27/2024,"DD DOORDASH MOESSOUTH 855-973-1040 CAITEM TRANSFERRED FROM PREV ACCOUNT",23.01,"Merchandise"
02/27/2024,02/27/2024,"SQ *TRAVELING ADDICTIO MEBANE NCAPPLE PAY ENDING IN 36990002305843019359847421",15.60,"Services"
02/29/2024,02/29/2024,"DD DOORDASH SAKEJAPAN 855-973-1040 CAITEM TRANSFERRED FROM PREV ACCOUNT",58.73,"Merchandise"
02/29/2024,02/29/2024,"TST* STEVE'S GARDEN MARK GRAHAM NCAPPLE PAY ENDING IN 3699",15.20,"Restaurants"
03/01/2024,03/01/2024,"DD DOORDASH CHICK-FIL 855-973-1040 CAITEM TRANSFERRED FROM PREV ACCOUNT",28.53,"Merchandise"
03/03/2024,03/03/2024,"INTERNET PAYMENT - THANK YOU",-486.29,"Payments and Credits"
03/04/2024,03/04/2024,"1PASSWORD 4165461397 CAN",35.88,"Merchandise"
03/05/2024,03/05/2024,"CVS/PHARMACY #07053 MEBANE NCAPPLE PAY ENDING IN 3699",4.05,"Merchandise"
03/05/2024,03/05/2024,"DD DOORDASH CHICK-FIL 855-973-1040 CAITEM TRANSFERRED FROM PREV ACCOUNT",28.53,"Merchandise"
03/08/2024,03/08/2024,"DD DOORDASH CASTLEMED 855-973-1040 CAITEM TRANSFERRED FROM PREV ACCOUNT",29.67,"Merchandise"
03/09/2024,03/09/2024,"DD DOORDASH MARCOSPIZ 855-973-1040 CAITEM TRANSFERRED FROM PREV ACCOUNT",62.26,"Merchandise"
03/09/2024,03/09/2024,"DD DOORDASH MOESSOUTH 855-973-1040 CAITEM TRANSFERRED FROM PREV ACCOUNT",23.01,"Merchandise"
03/09/2024,03/09/2024,"DOORDASH*LOWES FOODS A 6506819470 CA",29.63,"Restaurants"
03/13/2024,03/13/2024,"INTERNET PAYMENT - THANK YOU",-300.29,"Payments and Credits"
03/14/2024,03/14/2024,"DD DOORDASH HWY55BURG 855-973-1040 CAITEM TRANSFERRED FROM PREV ACCOUNT",42.36,"Merchandise"
03/20/2024,03/20/2024,"DD DOORDASH CASTLEMED 855-973-1040 CAITEM TRANSFERRED FROM PREV ACCOUNT",30.20,"Merchandise"
